brewery_id,score,username,text,style,abv,brewery_name,beer_name
10325,1.5,stcules,My Favorite White Wine,Hefeweizen,5,Vecchio Birraio,Sausa Weizen
10325,3,stcules,Yum!!,English Strong Ale,6.2,Vecchio Birraio,Red Moon
10325,3,stcules,A New Favorite!,Foreign / Export Stout,6.5,Vecchio Birraio,Black Horse Black Beer
10325,3,stcules,"Bold, Flavorful, Aromatic, Delicious",German Pilsener,5,Vecchio Birraio,Sausa Pils
1075,4,johnmichaelsen,"Yum! Plus, Environmentally Friendly!",American Double / Imperial IPA,7.7,Caldera Brewing Company,Cauldron DIPA
1075,3,oline73,Great Taste,Herbed / Spiced Beer,4.7,Caldera Brewing Company,Caldera Ginger Beer
1075,3.5,Reidrover,Simply Wonderful,Herbed / Spiced Beer,4.7,Caldera Brewing Company,Caldera Ginger Beer
1075,3,alpinebryant,A Sweet Red.,Herbed / Spiced Beer,4.7,Caldera Brewing Company,Caldera Ginger Beer
1075,4.5,augustgarage,Charles & Charles Red Blend,Herbed / Spiced Beer,4.7,Caldera Brewing Company,Caldera Ginger Beer
163,3,fodeeoz,This Wine Made My Party!,Light Lager,3.5,Amstel Brouwerij B. V.,Amstel Light
1075,5,MadeInOregon,Nice Sparkling Wine Compared To Champagne,Herbed / Spiced Beer,4.7,Caldera Brewing Company,Caldera Ginger Beer
1075,4,rawthar,Great Nh Beer!,Herbed / Spiced Beer,4.7,Caldera Brewing Company,Caldera Ginger Beer
1075,4,Halcyondays,Dry-Hopped Ipa!,Herbed / Spiced Beer,4.7,Caldera Brewing Company,Caldera Ginger Beer
1075,3.5,RangerClegg,Dry-hopped Ipa!,Herbed / Spiced Beer,4.7,Caldera Brewing Company,Caldera Ginger Beer
1075,3,Beerandraiderfan,Lovely! Try It!,Oatmeal Stout,7.2,Caldera Brewing Company,Caldera Oatmeal Stout
1075,2,RedDiamond,Fizzy Pinot Grigio?,Oatmeal Stout,7.2,Caldera Brewing Company,Caldera Oatmeal Stout
1075,4,beerguy101,Obsessed,American Pale Lager,5.6,Caldera Brewing Company,Caldera OBF 15
163,2.5,jdhilt,Great Wine,Light Lager,3.5,Amstel Brouwerij B. V.,Amstel Light
1075,4.5,UCLABrewN84,Excellent Cab......!!!!!!!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,zaphodchak,Highly Recommended,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,Tilley4,Michelob Ultra Light Cider,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4.5,mikedrinksbeer2,Please Don't Discontinue This Flavor Combination!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,dbmernin83,Wine Is Good - The Cube Is Not,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4.5,titosupertramp,Could Not Believe The Taste,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,5,optimator13,My New Fave!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4.5,Klym,Who Can Say No To Awesome $5 Wine,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4.5,flexabull,Good Wine For Beginners...,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
163,3,xXTequila,Fantastic Wine,Light Lager,3.5,Amstel Brouwerij B. V.,Amstel Light
1075,5,Bung,The Cube Riesling,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,oberon,Perfect For Summer,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4.5,t420o,We Loved It!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,DarthKostrizer,Yum!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,MrVonzipper,An Outstanding Table Wine,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,3,Beerandraiderfan,New Go To White,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,TheWhiskerReview,No No No No No.... No,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,3.5,Elimination,Love This Love Noir,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4.5,Jason,Best Wine I Ever Tasted,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
163,3,Brent,Excellent Chardonnay,Light Lager,3.5,Amstel Brouwerij B. V.,Amstel Light
1075,4.5,DoubleJ,Vintner's Red Boxed Wine,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,5,Deuane,Great Sauvignon Blanc Even Compared To Medium-Priced Bottles,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,Mattybeerguy,Great Sauvignon Blanc Even Compared To Medium-priced Bottles,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,3.5,beagle75,Great Wine For The Price.,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,northyorksammy,Love It!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4.5,vette2006c5r,Delicious!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,EvanEngelstad,Great For The Price,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,ccrida,Pretty Good For Wine In A Box!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,3.5,cooch69,This Wine Made My Party!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,3.5,DogFood11,Tried The Past Type & It's My Favorite So This Should Be Great!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,brewandbbq,A Scrumptious Red!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,3.5,Fatehunter,Refreshing Rose!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4.5,hopsbreath,Favorite Rosé,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4.5,augustgarage,Favorite Ros��,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4.5,Slatetank,Now That's Cider,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,Proteus93,Refreshing,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,SShelly,Here Are The Reasons I Like Truly,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,zoso1967,"Best Cabernet I've Ever Tasted, Simple As That.",Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,Halcyondays,I Love It!,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,msubulldog25,Deliciously Tangy,Rauchbier,7.4,Caldera Brewing Company,Rauch Ür Bock
1075,4,NJpadreFan,Decent Beer For A Good Price,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,2.5,vacax,Looked like a linear regulator from outside and no reviews on ...,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,d0ggnate,Luv This Wine,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,babyhobbes,delicious,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,mdagnew,Great wine for price,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,mikesgroove,Not worth the money!,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,hdofu,Nice Red,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,argock,Always Have Jb Original On Hand,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,Seanibus,Yumm,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,5,GratefulBeerGuy,Always Consistent,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,MuenchenerKindl,A Drink That Stands Out; And Smooth As Well...,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,PDXHops,Perfect & Versatile,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,IMincedTheKing,It is the first drink I check everytime,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Goliath,Yes I would buy again,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,zeff80,very reasonally priced,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,akorsak,One fine bourbon,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,wchesak,Red Stag stands alone,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,beer2day,Good taste,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,bfields4,The only whiskey I drink,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,dyan,Priced right and great quality,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,Monkeyknife,Best bourbon on earth.,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,HopDerek,A Bourbon Legend,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,djeucalyptus,I would buy this drink over and over.,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,5,mtrentm,Smooth,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,5,maximum12,smoothy,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,blackie,Always in my liquor cabinet,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,JayQue,Best price,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4.5,bbothen,Great product,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,Kegatron,Very Reasonally Priced,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,CrellMoset,One Fine Bourbon,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,beerman21,It Is A Good Wine,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,joepais,Love,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,4,BeerSox,Awesome Bourbon,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,Proteus93,Love Basil Hayden's,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
1075,3.5,hopdog,Flavorful With A Smooth Finish,American Pale Ale (APA),5.5,Caldera Brewing Company,Caldera Pale Ale
